ANNO;AteneoCOD;AteneoNOME;AteneoREGIONE;AteneoAREAGEO;CorsoTIPO;COD_FoET2013;DESC_FoET2013;Genere;DOTTORI
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Dottorato di ricerca;5;Natural sciences, mathematics and statistics;M;6
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Dottorato di ricerca;8;Agriculture, forestry, fisheries and veterinary;M;1
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Dottorato di ricerca;2;Arts and humanities;M;5
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Dottorato di ricerca;4;Business, administration and law;F;4
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Dottorato di ricerca;2;Arts and humanities;M;11
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Dottorato di ricerca;9;Health and welfare;F;27
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Dottorato di ricerca;6;Information and Communication Technologies (ICTs);M;17
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Dottorato di ricerca;5;Natural sciences, mathematics and statistics;M;42
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Dottorato di ricerca;4;Business, administration and law;M;9
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Dottorato di ricerca;5;Natural sciences, mathematics and statistics;F;52
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Dottorato di ricerca;3;Social sciences, journalism and information;M;6
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Dottorato di ricerca;3;Social sciences, journalism and information;F;8
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Dottorato di ricerca;9;Health and welfare;M;8
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Dottorato di ricerca;10;Services;M;1
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Dottorato di ricerca;7;Engineering, manufacturing and construction;F;33
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Dottorato di ricerca;2;Arts and humanities;F;22
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Dottorato di ricerca;7;Engineering, manufacturing and construction;M;68
2024;01201;"Castellanza - Università ""Carlo Cattaneo""";Lombardia;NORD-OVEST;Dottorato di ricerca;4;Business, administration and law;M;1
2024;01201;"Castellanza - Università ""Carlo Cattaneo""";Lombardia;NORD-OVEST;Dottorato di ricerca;7;Engineering, manufacturing and construction;M;3
2024;01202;Varese - Università dell' Insubria;Lombardia;NORD-OVEST;Dottorato di ricerca;5;Natural sciences, mathematics and statistics;M;16
2024;01202;Varese - Università dell' Insubria;Lombardia;NORD-OVEST;Dottorato di ricerca;2;Arts and humanities;F;2
2024;01202;Varese - Università dell' Insubria;Lombardia;NORD-OVEST;Dottorato di ricerca;1;Education;F;1
2024;01202;Varese - Università dell' Insubria;Lombardia;NORD-OVEST;Dottorato di ricerca;3;Social sciences, journalism and information;F;2
2024;01202;Varese - Università dell' Insubria;Lombardia;NORD-OVEST;Dottorato di ricerca;4;Business, administration and law;M;4
2024;01202;Varese - Università dell' Insubria;Lombardia;NORD-OVEST;Dottorato di ricerca;9;Health and welfare;F;5
2024;01202;Varese - Università dell' Insubria;Lombardia;NORD-OVEST;Dottorato di ricerca;9;Health and welfare;M;7
2024;01202;Varese - Università dell' Insubria;Lombardia;NORD-OVEST;Dottorato di ricerca;5;Natural sciences, mathematics and statistics;F;15
2024;01202;Varese - Università dell' Insubria;Lombardia;NORD-OVEST;Dottorato di ricerca;6;Information and Communication Technologies (ICTs);M;1
2024;01202;Varese - Università dell' Insubria;Lombardia;NORD-OVEST;Dottorato di ricerca;3;Social sciences, journalism and information;M;4
2024;01202;Varese - Università dell' Insubria;Lombardia;NORD-OVEST;Dottorato di ricerca;6;Information and Communication Technologies (ICTs);F;1
2024;01202;Varese - Università dell' Insubria;Lombardia;NORD-OVEST;Dottorato di ricerca;2;Arts and humanities;M;2
2024;01202;Varese - Università dell' Insubria;Lombardia;NORD-OVEST;Dottorato di ricerca;8;Agriculture, forestry, fisheries and veterinary;M;1
2024;01202;Varese - Università dell' Insubria;Lombardia;NORD-OVEST;Dottorato di ricerca;4;Business, administration and law;F;7
2024;01301;"Novedrate (CO) - Università telematica ""e-Campus""";Lombardia;NORD-OVEST;Dottorato di ricerca;2;Arts and humanities;F;1
2024;01301;"Novedrate (CO) - Università telematica ""e-Campus""";Lombardia;NORD-OVEST;Dottorato di ricerca;3;Social sciences, journalism and information;M;1
2024;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;Dottorato di ricerca;9;Health and welfare;F;36
2024;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;Dottorato di ricerca;4;Business, administration and law;F;18
2024;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;Dottorato di ricerca;2;Arts and humanities;M;12
2024;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;Dottorato di ricerca;6;Information and Communication Technologies (ICTs);M;15
2024;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;Dottorato di ricerca;8;Agriculture, forestry, fisheries and veterinary;F;22
2024;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;Dottorato di ricerca;3;Social sciences, journalism and information;F;10
2024;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;Dottorato di ricerca;5;Natural sciences, mathematics and statistics;F;83
2024;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;Dottorato di ricerca;2;Arts and humanities;F;16
2024;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;Dottorato di ricerca;5;Natural sciences, mathematics and statistics;M;71
2024;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;Dottorato di ricerca;9;Health and welfare;M;16
2024;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;Dottorato di ricerca;8;Agriculture, forestry, fisheries and veterinary;M;18
2024;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;Dottorato di ricerca;6;Information and Communication Technologies (ICTs);F;8
2024;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;Dottorato di ricerca;3;Social sciences, journalism and information;M;11
2024;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;Dottorato di ricerca;4;Business, administration and law;M;13
2024;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;Dottorato di ricerca;10;Services;M;2
2024;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;Dottorato di ricerca;7;Engineering, manufacturing and construction;F;1
2024;01502;Milano - Politecnico;Lombardia;NORD-OVEST;Dottorato di ricerca;9;Health and welfare;F;1
2024;01502;Milano - Politecnico;Lombardia;NORD-OVEST;Dottorato di ricerca;5;Natural sciences, mathematics and statistics;M;54
2024;01502;Milano - Politecnico;Lombardia;NORD-OVEST;Dottorato di ricerca;7;Engineering, manufacturing and construction;M;241
2024;01502;Milano - Politecnico;Lombardia;NORD-OVEST;Dottorato di ricerca;2;Arts and humanities;F;8
2024;01502;Milano - Politecnico;Lombardia;NORD-OVEST;Dottorato di ricerca;5;Natural sciences, mathematics and statistics;F;22
2024;01502;Milano - Politecnico;Lombardia;NORD-OVEST;Dottorato di ricerca;3;Social sciences, journalism and information;F;1
2024;01502;Milano - Politecnico;Lombardia;NORD-OVEST;Dottorato di ricerca;4;Business, administration and law;M;1
2024;01502;Milano - Politecnico;Lombardia;NORD-OVEST;Dottorato di ricerca;2;Arts and humanities;M;9
2024;01502;Milano - Politecnico;Lombardia;NORD-OVEST;Dottorato di ricerca;7;Engineering, manufacturing and construction;F;116
2024;01503;"Milano - Università commerciale ""Luigi Bocconi""";Lombardia;NORD-OVEST;Dottorato di ricerca;3;Social sciences, journalism and information;F;2
2024;01503;"Milano - Università commerciale ""Luigi Bocconi""";Lombardia;NORD-OVEST;Dottorato di ricerca;5;Natural sciences, mathematics and statistics;F;3
2024;01503;"Milano - Università commerciale ""Luigi Bocconi""";Lombardia;NORD-OVEST;Dottorato di ricerca;5;Natural sciences, mathematics and statistics;M;2
2024;01503;"Milano - Università commerciale ""Luigi Bocconi""";Lombardia;NORD-OVEST;Dottorato di ricerca;4;Business, administration and law;M;8
2024;01503;"Milano - Università commerciale ""Luigi Bocconi""";Lombardia;NORD-OVEST;Dottorato di ricerca;3;Social sciences, journalism and information;M;7
2024;01503;"Milano - Università commerciale ""Luigi Bocconi""";Lombardia;NORD-OVEST;Dottorato di ricerca;4;Business, administration and law;F;8
2024;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;Dottorato di ricerca;8;Agriculture, forestry, fisheries and veterinary;F;6
2024;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;Dottorato di ricerca;4;Business, administration and law;F;12
2024;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;Dottorato di ricerca;1;Education;M;2
2024;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;Dottorato di ricerca;2;Arts and humanities;F;17
2024;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;Dottorato di ricerca;3;Social sciences, journalism and information;M;12
2024;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;Dottorato di ricerca;9;Health and welfare;F;43
2024;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;Dottorato di ricerca;8;Agriculture, forestry, fisheries and veterinary;M;5
2024;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;Dottorato di ricerca;4;Business, administration and law;M;15
2024;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;Dottorato di ricerca;5;Natural sciences, mathematics and statistics;F;3
2024;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;Dottorato di ricerca;1;Education;F;4
2024;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;Dottorato di ricerca;5;Natural sciences, mathematics and statistics;M;7
2024;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;Dottorato di ricerca;9;Health and welfare;M;27
2024;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;Dottorato di ricerca;3;Social sciences, journalism and information;F;14
2024;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;Dottorato di ricerca;2;Arts and humanities;M;7
2024;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);Lombardia;NORD-OVEST;Dottorato di ricerca;3;Social sciences, journalism and information;F;3
2024;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);Lombardia;NORD-OVEST;Dottorato di ricerca;4;Business, administration and law;M;1
2024;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);Lombardia;NORD-OVEST;Dottorato di ricerca;4;Business, administration and law;F;1
2024;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);Lombardia;NORD-OVEST;Dottorato di ricerca;3;Social sciences, journalism and information;M;1
2024;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);Lombardia;NORD-OVEST;Dottorato di ricerca;2;Arts and humanities;M;2
2024;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);Lombardia;NORD-OVEST;Dottorato di ricerca;2;Arts and humanities;F;4
2024;01508;Milano - Università Vita-Salute San Raffaele;Lombardia;NORD-OVEST;Dottorato di ricerca;5;Natural sciences, mathematics and statistics;M;9
2024;01508;Milano - Università Vita-Salute San Raffaele;Lombardia;NORD-OVEST;Dottorato di ricerca;9;Health and welfare;M;13
2024;01508;Milano - Università Vita-Salute San Raffaele;Lombardia;NORD-OVEST;Dottorato di ricerca;3;Social sciences, journalism and information;M;2
2024;01508;Milano - Università Vita-Salute San Raffaele;Lombardia;NORD-OVEST;Dottorato di ricerca;2;Arts and humanities;M;5
2024;01508;Milano - Università Vita-Salute San Raffaele;Lombardia;NORD-OVEST;Dottorato di ricerca;9;Health and welfare;F;5
